Index,Attraction,Google Reviews
1,Peabody Essex Museum,3179
2,Salem Witch Museum,8542
3,The Satanic Temple at Salem Art gallery,151
4,Bewitched Statue,354
5,Witch House,3028
6,Salem Maritime National Historic Site,1657
7,The House of the Seven Gables,3369
8,Salem Willows Park,2968
9,Witch Dungeon Museum,1645
10,Salem Willows Arcade,221
11,Joshua Ward House,10
12,Count Orlok’s Nightmare Gallery,669
13,Black Veil Shoppe of Drear & Wonder,214
14,Crow Haven Corner,447
15,Herb Mackey’s Metal Sculpture Yard,28
16,Harbor Sweets,139
17,Salem Witch Board Museum,64
18,New England Pirate Museum,292
19,Salem Witch Trials Memorial,2091
20,witch city mall,1339
21,Historic New England Phillips House,74
22,Pickering Wharf,151
