Address,Coordinates,lat,lng
"90 Willson St, Salem, MA 01970, USA","(42.507436, -70.907488)",42.507436,-70.907488
"29 Horton St, Salem, MA 01970, USA","(42.507694, -70.9046388)",42.507694,-70.9046388
"2 Laurent Rd, Salem, MA 01970, USA","(42.5076135, -70.90245589999999)",42.5076135,-70.90245589999999
"13 Brooks St, Salem, MA 01970, USA","(42.5076347, -70.89957629999999)",42.5076347,-70.89957629999999
"3 Broadway, Salem, MA 01970, USA","(42.5075076, -70.89699960000002)",42.5075076,-70.89699960000002
"79 Ocean Ave, Salem, MA 01970, USA","(42.5078389, -70.894328)",42.5078389,-70.894328
"292 Lafayette St, Salem, MA 01970, USA","(42.5078405, -70.89165729999999)",42.5078405,-70.89165729999999
"10 Cliff St, Salem, MA 01970, USA","(42.507903, -70.88912599999999)",42.507903,-70.88912599999999
"32 Shore Ave, Salem, MA 01970, USA","(42.5079959, -70.88666429999999)",42.5079959,-70.88666429999999
"19 Greenway Rd, Salem, MA 01970, USA","(42.5095542, -70.9077041)",42.5095542,-70.9077041
"34 Horton St, Salem, MA 01970, USA","(42.508767, -70.903593)",42.508767,-70.903593
"192 Jefferson Ave, Salem, MA 01970, USA","(42.5093847, -70.9015734)",42.5093847,-70.9015734
"20 Colonial Rd, Salem, MA 01970, USA","(42.5099401, -70.8996263)",42.5099401,-70.8996263
"136 Canal St Ste 102, Salem, MA 01970, USA","(42.509552, -70.89656819999999)",42.509552,-70.89656819999999
"22 Hazel St, Salem, MA 01970, USA","(42.5096304, -70.89442090000001)",42.5096304,-70.89442090000001
"Lafayette St @ Laurel St, Salem, MA 01970, USA","(42.509665, -70.891571)",42.509665,-70.891571
"16 Willow Ave, Salem, MA 01970, USA","(42.5098022, -70.8889867)",42.5098022,-70.8889867
"81 Highland Ave # 5, Salem, MA 01970, USA","(42.5117136, -70.9068894)",42.5117136,-70.9068894
"1 Dove Ave, Salem, MA 01970, USA","(42.5117673, -70.9055514)",42.5117673,-70.9055514
"21 Bertuccio Ave, Salem, MA 01970, USA","(42.511967, -70.9021772)",42.511967,-70.9021772
"100 Canal St, Salem, MA 01970, USA","(42.5119678, -70.89659879999999)",42.5119678,-70.89659879999999
"43 Cabot St, Salem, MA 01970, USA","(42.5117146, -70.89428149999999)",42.5117146,-70.89428149999999
"231 Lafayette St, Salem, MA 01970, USA","(42.5117466, -70.89168049999999)",42.5117466,-70.89168049999999
"58 Leach St, Salem, MA 01970, USA","(42.5116306, -70.8890796)",42.5116306,-70.8890796
"104 Proctor St, Salem, MA 01970, USA","(42.513343, -70.907797)",42.513343,-70.907797
"1 Powder House Ln, Salem, MA 01970, USA","(42.5127115, -70.9047781)",42.5127115,-70.9047781
