T32013,T32011,T32010,T32014,T32008,T32006,T32004,T32001,T32012,T32005,T32009,T32002,T32003,origin_address
1891,1306,2459,2094,3235,2813,2012,3711,2743,2742,1965,5290,2640,"90 Willson St, Salem, MA 01970, USA"
2598,1502,2263,2290,2915,2616,1816,3392,2627,2461,1769,4970,2444,"41 Willson St, Salem, MA 01970, USA"
2361,1837,2026,2606,2678,2380,1579,3155,2390,2224,1532,4733,2207,"18 Willson St, Salem, MA 01970, USA"
2431,1906,1998,2676,2748,2352,1649,3224,2460,2294,1504,4803,2276,"38 Lawrence St, Salem, MA 01970, USA"
2834,2612,1169,3321,2455,975,1394,2931,2159,2001,796,4510,1983,"13 Broadway, Salem, MA 01970, USA"
3097,2874,721,3584,2476,827,1470,2952,2421,2263,837,4531,1823,"28 Forest Ave, Salem, MA 01970, USA"
2885,2662,509,3372,2264,615,1667,2740,2209,2051,625,4319,1611,"19 Wisteria St, Salem, MA 01970, USA"
2971,2748,329,3458,2350,701,1928,2826,2295,2137,711,4405,1697,"10 Plymouth St, Salem, MA 01970, USA"
3206,2983,79,3693,2585,936,2162,3061,2530,2372,698,4639,1932,"32 Clifton Ave, Salem, MA 01970, USA"
3527,3304,365,4014,2906,1257,2484,3382,2851,2693,1019,4961,2253,"32 Clifton Ave, Salem, MA 01970, USA"
3575,3353,414,4062,2954,1305,2532,3431,2900,2742,1068,5009,2301,"32 Clifton Ave, Salem, MA 01970, USA"
3572,3350,411,4059,2952,1302,2529,3428,2897,2739,1065,5006,2298,"2-26 Nonantum Rd, Marblehead, MA 01945, USA"
1636,1051,3852,1838,2979,2961,2086,3456,2488,2487,2751,5034,2678,"6 Emerald Ave, Salem, MA 01970, USA"
2582,2058,2403,2827,2899,2674,1800,3376,2611,2445,1909,4954,2428,"24 Horton St, Salem, MA 01970, USA"
2076,1551,2265,2320,2393,2168,1294,2869,2104,1938,1771,4447,1921,"200-R Jefferson Ave, Salem, MA 01970, USA"
2179,1655,2267,2424,2496,2271,1397,2973,2208,2042,1774,4551,2025,"176 Ocean Ave, Salem, MA 01970, USA"
2611,2388,1234,3098,2231,738,1171,2708,1935,1777,1203,4286,1760,"142 Canal St, Salem, MA 01970, USA"
2659,2437,868,3146,2169,520,1219,2645,1984,1826,982,4224,1516,"3 Meadow St, Salem, MA 01970, USA"
2589,2366,573,3076,1968,319,1527,2444,1913,1755,689,4023,1315,"284 Lafayette St, Salem, MA 01970, USA"
2803,2581,360,3290,2182,533,1741,2659,2127,1969,840,4237,1529,"22 Ocean Ave, Salem, MA 01970, USA"
3004,2782,294,3491,2383,734,1942,2860,2328,2171,937,4438,1730,"36 Shore Ave, Salem, MA 01970, USA"
3449,3227,288,3936,2828,1179,2406,3305,2774,2616,942,4883,2175,"98 West Ave, Salem, MA 01970, USA"
3535,3313,374,4022,2914,1265,2492,3391,2859,2701,1027,4969,2261,"Unnamed Road, Salem, MA 01970, USA"
3590,3367,428,4077,2969,1319,2546,3445,2914,2756,1082,5023,2315,"2-26 Nonantum Rd, Marblehead, MA 01945, USA"
1406,821,3603,1609,2750,2711,1837,3226,2258,2257,2570,4805,2448,"13 Greenway Rd, Salem, MA 01970, USA"
1849,1264,3471,2052,2804,2580,1705,3281,2516,2350,2438,4859,2333,"9 Dove Ave, Salem, MA 01970, USA"
1509,924,3456,1712,2789,2564,1690,3266,2501,2335,2423,4844,2318,"114 Jefferson Ave, Salem, MA 01970, USA"
2004,1479,2987,2248,2321,2096,1222,2797,2033,1867,1963,4376,1849,"25 Colonial Rd, Salem, MA 01970, USA"
2346,2123,1582,2833,1966,771,855,2443,1670,1512,1417,4021,1494,"120 Canal St # B, Salem, MA 01970, USA"
2565,2342,1032,3052,1944,295,1055,2420,1889,1731,1240,3999,1291,"14 Hazel St, Salem, MA 01970, USA"
2372,2149,790,2859,1751,102,1409,2227,1696,1538,906,3806,1098,"248 MA-114, Salem, MA 01970, USA"
2641,2418,743,3128,1849,370,1650,2248,1965,1807,1084,3827,1062,"11 Messervy St, Salem, MA 01970, USA"
2778,2556,1134,3265,1704,508,1815,2104,2102,1945,1454,3682,917,"120 Leach St, Salem, MA 01970, USA"
2778,2556,1134,3265,1704,508,1815,2104,2102,1945,1454,3682,917,"120 Leach St, Salem, MA 01970, USA"
2778,2556,1134,3265,1704,508,1815,2104,2102,1945,1454,3682,917,"199-97 Leach St, Salem, MA 01970, USA"
3543,3321,382,4030,2922,1273,2500,3399,2867,2710,1035,4977,2269,"35 Manataug Trail, Marblehead, MA 01945, USA"
1319,734,3535,1521,2662,2644,1769,3139,2171,2170,2768,4717,2361,"68 MA-107, Salem, MA 01970, USA"
